mmsi1,mmsi2,distance_km,sog1,cog1,cog_diff_1,sog_diff_1,lat_rad_1,lon_rad_1,length_1,vessel_type_1,sog2,cog2,cog_diff_2,sog_diff_2,lat_rad_2,lon_rad_2,length_2,vessel_type_2,TCPA,DCPA,tcpa_type,base_date_time,movement_state,anomaly_dcpa_tcpa
205670000.0,366921510.0,1.4517949786041764,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,159.1,,,0.5888348197147169,-2.063410795781316,37.0,31.0,0.0,0.0253442632042111,static,2025-06-01,anchored,False
205670000.0,366926740.0,5.959630346720369,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,207.7,,,0.5886698861004034,-2.06427630455738,24.0,52.0,0.0,0.1041268623244636,static,2025-06-01,anchored,False
205670000.0,366978690.0,4.737687993397022,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,18.6,,,0.5887147410621798,-2.064048888155845,33.0,31.0,0.0,0.0827799136797984,static,2025-06-01,anchored,False
205670000.0,366998840.0,5.522887614294307,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,286.6,,,0.5892917469128891,-2.063971046471206,30.0,52.0,0.0,0.0962489053733794,static,2025-06-01,anchored,False
205670000.0,367006770.0,6.110235567383137,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,121.4,,,0.5886950188416321,-2.064307022352214,36.0,31.0,0.0,0.1067612077724363,static,2025-06-01,anchored,False
205670000.0,367034960.0,3.885805433863079,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,72.4,,,0.5893531825025592,-2.063275183698436,23.0,52.0,0.0,0.0674510988232916,static,2025-06-01,anchored,False
205670000.0,367035570.0,4.940136100506404,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,289.6,,,0.5887585488264047,-2.0640881580640147,31.0,60.0,0.0,0.086318575164356,static,2025-06-01,anchored,False
205670000.0,367044560.0,5.800392379593634,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.2,177.5,,,0.5885527745075946,-2.0642241192127453,13.0,50.0,0.0475864104282979,0.0997724634954745,dynamic,2025-06-01,anchored,False
205670000.0,367104040.0,6.766194443318203,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,16.6,141.2,,,0.587691978120511,-2.063066267786972,32.0,60.0,0.0031384825346549,0.0669378649725694,dynamic,2025-06-01,moving,False
205670000.0,367124980.0,5.61009351599829,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,276.8,,,0.5887779219811019,-2.0642141708360087,46.0,70.0,0.0,0.098024142691891,static,2025-06-01,anchored,False
205670000.0,367133910.0,5.545089374002644,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,241.2,,,0.5893181013845941,-2.0639502770531077,22.0,51.0,0.0,0.0966127221132813,static,2025-06-01,anchored,False
205670000.0,367192940.0,24.52593968801923,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,24.0,15.3,,,0.5850067890663178,-2.0642283080029498,33.0,40.0,-0.0095752073293063,0.0133638493634986,dynamic,2025-06-01,moving,False
205670000.0,367199310.0,3.1795476211256646,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,7.3,286.2,,,0.5892090183063444,-2.062916344004225,42.0,40.0,-0.0005302092995242,0.0547743908742903,dynamic,2025-06-01,moving,False
205670000.0,367401030.0,6.342697352389922,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,35.3,,,0.5888704244314575,-2.064344372398208,30.0,31.0,0.0,0.1108148337812598,static,2025-06-01,anchored,False
205670000.0,367417780.0,35.34225770864695,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,270.6,,,0.5930733518031852,-2.0673435461848344,19.0,37.0,0.0,0.6150110148273397,static,2025-06-01,anchored,False
205670000.0,367421990.0,2.432231421724392,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,305.8,,,0.589100982425646,-2.063340284479535,67.0,33.0,0.0,0.042258233043338,static,2025-06-01,anchored,False
205670000.0,367461940.0,1.9039559954474208,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,300.1,,,0.588948615181947,-2.0634258056128827,45.0,90.0,0.0,0.0331702484416138,static,2025-06-01,anchored,False
205670000.0,367492920.0,5.659657425196148,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,200.4,,,0.5887950262077715,-2.0642227229493435,31.0,90.0,0.0,0.0988891646208158,static,2025-06-01,anchored,False
205670000.0,367533290.0,5.620327571837047,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.1,106.6,,,0.5887782710469524,-2.064216090698186,46.0,90.0,-0.5125055912657352,0.0251945426451604,dynamic,2025-06-01,anchored,False
205670000.0,367569830.0,5.512716989404576,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,290.1,,,0.5892880817214599,-2.063972093668757,30.0,31.0,0.0,0.0960741474906614,static,2025-06-01,anchored,False
205670000.0,367574860.0,13.440945477925954,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,293.5,,,0.5886424844311472,-2.0606224577683294,14.0,37.0,0.0,0.2348484384917215,static,2025-06-01,anchored,False
205670000.0,367580930.0,22.62702106433973,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,26.9,112.9,,,0.5890346599140703,-2.067413184821989,26.0,60.0,-0.0075318470260978,0.124501769557613,dynamic,2025-06-01,moving,False
205670000.0,367599960.0,6.436135950688303,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,133.2,,,0.5885363684126259,-2.0643426270689558,14.0,37.0,0.0,0.112423902649669,static,2025-06-01,anchored,False
205670000.0,367625810.0,4.112312773097967,0.0,176.2,,,0.5887513929764716,-2.0631558031776,334.0,80.0,0.0,107.2,,,0.5893681923341264,-2.063384615842536,32.0,52.0,0.0,0.0714122105783021,static,2025-06-01,anchored,False
